Water Control Zone,Station,Dates,Sample No,Depth,5-day Biochemical Oxygen Demand mg_L,Ammonia Nitrogen mg_L,Chlorophyll-a ug_L,Dissolved Oxygen per_saturation,Dissolved Oxygen mg_L,E. coli cfu_100mL,Faecal Coliforms cfu_100mL,Nitrate Nitrogen mg_L,Nitrite Nitrogen mg_L,Orthophosphate Phosphorus mg_L,pH,Phaeo-pigments ug_L,Salinity psu,Secchi Disc Depth M,Silica mg_L,Suspended Solids mg_L,Temperature C,Total Inorganic Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Nitrogen mg_L,Total Phosphorus mg_L,Turbidity NTU,Unionised Ammonia mg_L,Volatile Suspended Solids mg_L
Deep Bay,DM1,2015-01-19,1,Surface Water,7.1,1.3,56,51,4.4,6700,12000,1.3,0.23,0.16,6.8,12,20.4,0.2,5.1,75,17.2,2.83,2.5,4.03,0.26,30.9,0,15
Deep Bay,DM1,2015-02-07,1,Surface Water,3.6,0.81,18,73,6.4,880,1200,1.5,0.17,0.15,7.3,11,20.9,1.5,7,47,15.8,2.48,1.7,3.37,0.27,36.4,0,8
Deep Bay,DM1,2015-03-05,1,Surface Water,3.8,1.1,4.1,83,6.9,4700,7500,2.2,0.13,0.2,7.3,8.7,20.5,0.7,6.4,150,18.6,3.43,1.9,4.23,0.48,81.3,0.01,17
Deep Bay,DM1,2015-04-25,1,Surface Water,2.7,3,8.4,62,4.6,2900,5000,0.85,0.28,0.28,7.3,8.1,20.1,1.3,7.1,13,24.7,4.13,4,5.13,0.37,21,0.03,3
Deep Bay,DM1,2015-05-09,1,Surface Water,2.5,0.63,4.9,74,5.2,170,490,1.1,0.18,0.18,7.4,7.2,17,0.5,6.1,56,28.6,1.91,1,2.28,0.23,41.4,0.01,6.9
Deep Bay,DM1,2015-06-13,1,Surface Water,5.7,1.8,50,82,5.9,560,1100,0.52,0.89,0.29,7.7,37,4.3,1,14,68,31.1,3.21,3.5,4.91,0.58,44.5,0.07,18
Deep Bay,DM1,2015-07-18,1,Surface Water,1.6,1.3,4.5,55,3.7,1500,2800,0.5,0.35,0.31,6.8,1.5,14.7,1.2,11,22,31.7,2.15,2.1,2.95,0.43,13.1,0.01,3.7
Deep Bay,DM1,2015-08-03,1,Surface Water,2,0.44,5.3,49,3.4,90,170,1.2,0.64,0.16,6.9,2.9,9.2,1,9.3,15,31,2.28,0.88,2.72,0.23,16.5,0,2.6
Deep Bay,DM1,2015-09-12,1,Surface Water,3.4,1.1,6.8,64,4.5,230,830,0.83,0.63,0.26,7.2,4.3,14.8,0.6,9.1,16,29.6,2.56,1.6,3.06,0.35,12.9,0.01,2.8
Deep Bay,DM1,2015-10-10,1,Surface Water,2.2,1.3,7.4,45,3.4,800,2500,0.87,0.63,0.28,7.2,3.4,8.6,1.1,13,16,27.1,2.8,3.1,4.6,0.43,10.5,0.01,3.6
Deep Bay,DM1,2015-11-07,1,Surface Water,2.5,1.6,8.4,41,3,32000,47000,0.86,0.52,0.31,7.1,4.6,15.3,1,8.2,17,26.8,2.98,3.1,4.48,0.45,10.4,0.01,5
Deep Bay,DM1,2015-12-05,1,Surface Water,3.6,1.7,8.5,39,3.1,180000,200000,1.1,0.53,0.25,7.3,3.4,16.8,0.8,8.6,34,22.2,3.33,3.2,4.83,0.36,15.3,0.02,6.4
Deep Bay,DM1,2016-01-11,1,Surface Water,2.8,1.6,20,68,5.6,8100,11000,0.66,0.31,0.2,7.8,6.4,18.6,1.5,3,25,19.4,2.57,3.1,4.07,0.33,15.1,0.03,4.7
Deep Bay,DM1,2016-02-03,1,Surface Water,6,2.6,1.7,41,3.6,360000,560000,1.1,0.67,0.22,7,2,20.6,1,8.7,15,15.3,4.37,5.2,6.97,0.44,11.9,0.01,6.6
Deep Bay,DM1,2016-03-16,1,Surface Water,3.5,1.4,9.9,52,4.7,6800,8400,1.4,0.32,0.18,7.2,3.9,16,1,7.8,26,15.8,3.12,2.5,4.22,0.26,20,0.01,4.8
Deep Bay,DM1,2016-04-13,1,Surface Water,5,3.6,2,24,2,210000,250000,0.34,0.1,0.2,7,5.1,5,1.2,11,66,22.5,4.04,4.8,5.24,0.34,36,0.02,9.1
Deep Bay,DM1,2016-05-12,1,Surface Water,1.3,1.3,1.1,48,3.6,1600,4800,0.63,0.17,0.33,6.9,2.9,7.6,1.5,10,23,27.4,2.1,2.1,2.9,0.33,16.7,0.01,3.8
Deep Bay,DM1,2016-06-03,1,Surface Water,6.1,1.9,3.6,47,3.4,6100,12000,0.38,0.76,0.41,7.1,5.8,4,1.2,14,150,31.4,3.04,4.2,5.34,0.47,64.8,0.02,17
Deep Bay,DM1,2016-07-13,1,Surface Water,11,2.4,3.7,24,1.9,550000,1100000,0.05,0.35,0.19,6.6,9.1,0.2,1,14,86,28,2.8,6.2,6.6,0.79,108.2,0.01,13
Deep Bay,DM1,2016-08-03,1,Surface Water,1.6,1.8,4.8,76,5.9,8600,17000,0.47,0.26,0.19,7,4.7,4.8,1.5,8,29,27.5,2.53,3.1,3.83,0.29,25.3,0.01,3.7
Deep Bay,DM1,2016-09-01,1,Surface Water,1.9,0.73,4.1,83,5.8,530,1100,0.57,0.25,0.24,7.1,3.4,15.3,1.4,8.4,25,29.6,1.55,1.4,2.22,0.43,28.5,0.01,3.4
Deep Bay,DM1,2016-10-08,1,Surface Water,5,2.8,16,94,7,58000,95000,1.1,0.58,0.34,6.8,5.5,6.6,1.7,21,21,29.3,4.48,5.1,6.78,0.47,17.8,0.01,5.4
Deep Bay,DM1,2016-11-02,1,Surface Water,4.3,1.6,3.7,91,7,1800,2300,1,0.47,0.2,7,6.2,14.9,1.7,8.4,95,24.7,3.07,2.1,3.57,0.37,68.3,0.01,12
Deep Bay,DM1,2016-12-03,1,Surface Water,2.7,1.8,3.7,48,3.9,3500,7800,1.3,0.42,0.23,7.3,2.4,15.9,1,10,29,21,3.52,3,4.72,0.29,21.9,0.02,4.1
Deep Bay,DM1,2017-01-07,1,Surface Water,8,5.2,29,22,1.8,240000,310000,0.1,0.4,0.41,7.1,7.9,6.8,1,12,22,23.1,5.7,9,9.5,0.75,16.9,0.03,6.8
Deep Bay,DM1,2017-02-01,1,Surface Water,4.9,1.2,7.8,54,4.5,4500,7800,1.8,0.34,0.15,7,6.2,17.7,1.5,7.1,110,19.2,3.34,2.1,4.24,0.38,42.7,0.01,13
Deep Bay,DM1,2017-03-06,1,Surface Water,4.9,2,42,87,7.1,9700,22000,1.3,0.5,0.22,7.2,9.5,17.1,1.5,7.1,30,20.5,3.8,3.5,5.3,0.35,15.5,0.01,9.8
Deep Bay,DM1,2017-04-08,1,Surface Water,3.7,1.5,17,53,4,1100,1500,1.3,0.34,0.23,7.1,7.5,16.3,1.7,7,22,24,3.14,2.7,4.34,0.26,17.3,0.01,4
Deep Bay,DM1,2017-05-10,1,Surface Water,6.6,1.4,82,115,8.5,10000,16000,0.65,0.25,0.2,7.9,15,10.3,0.3,3.4,58,27.9,2.3,3.5,4.4,0.41,31,0.07,10
Deep Bay,DM1,2017-06-07,1,Surface Water,3.4,1.6,4.1,58,4.1,3100,8000,0.87,0.41,0.33,7.2,3.7,9,1,11,26,31.3,2.88,2.7,3.98,0.44,18,0.02,6.6
Deep Bay,DM1,2017-07-10,1,Surface Water,1.8,2.1,8.8,68,5,2600,6000,0.52,0.42,0.23,7,7.3,3.2,1,12,22,30.1,3.04,2.9,3.84,0.35,17.9,0.02,4.5
Deep Bay,DM1,2017-08-11,1,Surface Water,4.8,1.1,19,65,4.6,780,1400,0.63,0.63,0.16,7.2,5.4,8.2,1.5,4.2,45,31.1,2.36,1.7,2.96,0.29,21,0.02,6.4
Deep Bay,DM1,2017-09-08,1,Surface Water,3,1.3,1.3,31,2.3,3000,8200,0.56,0.5,0.22,6.8,3.6,8.7,1.5,9.8,36,29.6,2.36,1.7,2.76,0.41,19.2,0.01,4
Deep Bay,DM1,2017-10-06,1,Surface Water,1.8,0.88,5.6,60,4.2,670,1900,0.68,0.46,0.27,7.2,3.4,13.4,1.5,7.8,24,30.2,2.02,1.4,2.54,0.32,16.2,0.01,3.2
Deep Bay,DM1,2017-11-06,1,Surface Water,2,0.58,11,97,7.3,330,880,1.1,0.31,0.19,7.4,9.5,22.9,1.5,3.2,60,22.9,1.99,0.78,2.19,0.21,28,0.01,6.3
Deep Bay,DM1,2017-12-04,1,Surface Water,3.5,1.3,7.2,60,4.6,3200,5800,1.4,0.4,0.2,7.2,6.8,21.7,1,6,69,22.2,3.1,1.6,3.4,0.35,48.1,0.01,8
