,Water Control Zone,Station,Dates,Sample No,Depth,5-day Biochemical Oxygen Demand mg_L,Ammonia Nitrogen mg_L,Chlorophyll-a ug_L,Dissolved Oxygen per_saturation,Dissolved Oxygen mg_L,E. coli cfu_100mL,Faecal Coliforms cfu_100mL,Nitrate Nitrogen mg_L,Nitrite Nitrogen mg_L,Orthophosphate Phosphorus mg_L,pH,Phaeo-pigments ug_L,Salinity psu,Secchi Disc Depth M,Silica mg_L,Suspended Solids mg_L,Temperature C,Total Inorganic Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Nitrogen mg_L,Total Phosphorus mg_L,Turbidity NTU,Unionised Ammonia mg_L,Volatile Suspended Solids mg_L,Image_date,Date_compare,B2,B3,B4,B5,B6,B7,B8,B11,B12,BC1,BC2,BC3,BC4,BC5,BC6
1209,Mirs Bay,MM4,2015-10-26,1,Surface Water,0.6,0.03,1.7,95.0,6.3,1.0,1.0,0.0,0.0,0.01,8.1,0.2,33.0,4.0,0.32,1.6,27.0,0.03,0.29,0.29,0.04,3.3,0.0,1.0,2015-10-23,3 days,0.03913679229134506,0.05177878354781748,0.02989911157291587,0.021466499519379637,0.021180116510004097,0.025479647524716462,0.022044998595253266,0.017884378271518106,0.01522736899544426,19.520360282789262,14.39261210031198,0.0008939568728496717,0.7639642858397451,0.0011701553193249597,0.0015481396264060555
1089,Mirs Bay,MM2,2015-10-26,1,Surface Water,0.7,0.03,3.2,67.0,4.4,1.0,2.0,0.01,0.0,0.01,8.0,0.6,32.8,3.0,0.43,4.2,27.0,0.04,0.29,0.3,0.04,3.3,0.0,1.1,2015-10-23,3 days,0.04909892277648072,0.06599898883250345,0.036329772165316535,0.027025226480422916,0.0237610587493796,0.026570493886955236,0.022370081600986153,0.006843144100300502,0.004383985267032509,15.070190650891186,9.279480010741686,0.0013198523455838081,0.7399301269949482,0.0017837526780320153,0.0023977282274261205
969,Mirs Bay,MM17,2015-10-26,1,Surface Water,0.9,0.03,1.6,65.0,4.3,1.0,1.0,0.01,0.0,0.01,8.0,0.8,32.9,5.0,0.4,1.2,26.7,0.04,0.3,0.31,0.03,2.5,0.0,0.9,2015-10-23,3 days,0.03725613793156888,0.046232107544851374,0.03211212015933077,0.025167152333012855,0.02554918291532358,0.029335626649411098,0.025297624093686858,0.01903300329620979,0.015836840024518475,23.135203003044538,18.225693787835937,0.0010311882611272977,0.8619283141562738,0.0011963735779311408,0.0014846109926993701
669,Mirs Bay,MM1,2015-10-26,1,Surface Water,0.7,0.04,2.8,68.0,4.5,1.0,1.0,0.01,0.01,0.01,8.0,0.4,32.8,2.5,0.48,5.0,27.0,0.06,0.34,0.36,0.04,4.8,0.0,1.1,2015-10-23,3 days,0.04715190357205954,0.06824938411638055,0.04394599260896164,0.036786624506698784,0.0369382401742602,0.041235089907722254,0.03364200075719821,0.010470711260656811,0.0060819472234551804,19.76609223669765,15.131547850354584,0.0019312502663869113,0.9320088751412021,0.0020721372058762006,0.0029992869299446437
1389,Mirs Bay,MM7,2015-10-26,1,Surface Water,0.7,0.04,1.9,85.0,5.7,1.0,1.0,0.01,0.01,0.01,8.0,0.5,32.9,3.0,0.65,3.9,27.0,0.05,0.29,0.31,0.03,3.7,0.0,1.3,2015-10-23,3 days,0.04170387093181283,0.0470559918898244,0.02922595422970482,0.021434689547247227,0.023128769345026935,0.025626529231393268,0.022162218014847888,0.006419412274275953,0.004076776527714194,16.80412734875277,12.7426714941546,0.000854156400636801,0.7007971580741316,0.001218835423054679,0.0013752562652053692
1269,Mirs Bay,MM5,2015-10-26,1,Surface Water,0.6,0.02,2.9,82.0,5.4,1.0,1.0,0.01,0.01,0.01,8.0,0.7,32.9,5.0,0.4,1.0,26.7,0.04,0.28,0.29,0.03,2.4,0.0,0.8,2015-10-23,3 days,0.04203845430015049,0.056493741886111205,0.03217483799850335,0.02366317195812397,0.02228433773384559,0.025263024124868597,0.02250266438302956,0.017881647598310423,0.014888960799471735,18.20635013047264,12.733285141793399,0.001035220200229935,0.765366817932413,0.0013525804568148285,0.001817676993114891
1149,Mirs Bay,MM3,2015-10-26,1,Surface Water,0.6,0.04,1.5,87.0,5.8,1.0,1.0,0.0,0.0,0.01,8.1,0.3,33.0,3.0,0.36,3.4,27.0,0.04,0.33,0.34,0.02,4.3,0.0,1.7,2015-10-23,3 days,0.04700860140379637,0.06261672132801087,0.034406550349968416,0.023951797310559356,0.020639061119856895,0.026037374427331433,0.022257922032356818,0.012569070608205571,0.008673594495327262,15.569923231119388,10.072330233721168,0.0011838107069849118,0.7319203150594006,0.0016174038110813157,0.002154425375122147
1329,Mirs Bay,MM6,2015-10-26,1,Surface Water,0.8,0.02,3.4,71.0,4.7,1.0,1.0,0.0,0.0,0.01,7.8,0.3,32.8,3.8,0.34,2.3,26.7,0.03,0.26,0.26,0.02,2.7,0.0,0.7,2015-10-23,3 days,0.033673063797414055,0.04719195551363171,0.031079522999246396,0.023920505565438205,0.028026928072953292,0.03263263169964481,0.027060271389104298,0.01755219964947049,0.01365433845857652,27.410002705908052,23.865299091493135,0.0009659367498606857,0.9229787698033337,0.0010465427607468214,0.0014667034667653295
2079,Port Shelter,PM3,2015-10-19,1,Surface Water,0.4,0.01,1.8,91.0,6.0,7.0,73.0,0.0,0.0,0.0,7.9,0.2,32.9,4.5,0.43,1.0,27.1,0.02,0.32,0.32,0.07,2.9,0.0,0.6,2015-10-23,4 days,0.037569927624585414,0.05005443919686984,0.03183767071446369,0.02415825112700616,0.028246533816443067,0.03276850746344454,0.028378276385212498,0.014215216237663766,0.009437478991507178,22.555921258194815,20.10505647001837,0.0010136372765226188,0.8474243291762268,0.0011961389844777834,0.0015936167529470861
2139,Port Shelter,PM4,2015-10-19,1,Surface Water,0.4,0.01,3.6,75.0,5.0,2.0,8.0,0.0,0.0,0.01,8.0,0.4,32.5,3.0,0.49,4.5,26.6,0.02,0.28,0.28,0.06,3.3,0.0,1.6,2015-10-23,4 days,0.04304258602397992,0.061978891711518394,0.033990786109893874,0.02752958702437088,0.03941758396765541,0.04481908016712403,0.03702839587888882,0.01728419230623589,0.012204208833383587,18.346976152768068,19.98656618204791,0.0011553735403685543,0.7897012993354279,0.001463051335157809,0.002106711251494496
